Name,Completion Status,Platforms,Sources
 ~Hack~ ~Demo~ Super Mario Star World,2 - Not Played,Nintendo DS,RetroAchievements
 Wordeous,2 - Not Played,PC (Windows),Steam
!Anyway!,2 - Not Played,PC (Windows),Steam
#KILLALLZOMBIES,2 - Not Played,PC (Windows),Steam
#KILLALLZOMBIES,2 - Not Played,PlayStation 3,Standalone
#KILLALLZOMBIES,2 - Not Played,PlayStation Vita,Standalone
*NEW* EPIC SCUFFED BHOP SIMULATOR 2023 (POG CHAMP),2 - Not Played,PC (Windows),Steam
*NEW* SCUFFED BHOP SIMULATION 2026 GOTY EDITION,2 - Not Played,PC (Windows),Steam
.hack//G.U. Last Recode,2 - Not Played,PC (Windows),Steam
.hack//G.U. Vol. 1: Rebirth,2 - Not Played,PlayStation 2,RetroAchievements
.hack//G.U. Vol. 2: Reminisce,2 - Not Played,PlayStation 2,RetroAchievements
.hack//G.U. Vol. 3: Redemption,2 - Not Played,PlayStation 2,RetroAchievements
.hack//Infection,2 - Not Played,PlayStation 2,RetroAchievements
.hack//Infection [Subset - Book of 1000],2 - Not Played,PlayStation 2,RetroAchievements
.hack//Link,2 - Not Played,PlayStation Portable,RetroAchievements
.hack//Mutation,2 - Not Played,PlayStation 2,RetroAchievements
.hack//Mutation [Subset - Book of 1000],2 - Not Played,PlayStation 2,RetroAchievements
.hack//Outbreak,2 - Not Played,PlayStation 2,RetroAchievements
.hack//Outbreak [Subset - Book of 1000],2 - Not Played,PlayStation 2,RetroAchievements
.hack//Quarantine,2 - Not Played,PlayStation 2,RetroAchievements
.hack//Quarantine [Subset - Book of 1000],2 - Not Played,PlayStation 2,RetroAchievements
.hack//Versus,2 - Not Played,PlayStation 3,Standalone
:THE LONGING:,2 - Not Played,PC (Windows),Steam
＠ｆｉｅｌｄ • JP,2 - Not Played,PlayStation Vita,Standalone
@SIMPLE Vシリーズ Vol.2 THE 逃走ハイウェイ フルブースト ～名古屋-東京 激走4時間～ • JP,2 - Not Played,PlayStation Vita,Standalone
[MARS] Total Warfare,6 - No Achievements & Not Interested,PC (Windows),Steam
[PROTOTYPE],2 - Not Played,PlayStation 3,Standalone
